text,label
Scientists map full genome of endangered species,REAL
Scientists confirm link between air pollution and dementia,REAL
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
Government admits planting fake news to distract citizens,FAKE
India and China already at war government hiding casualties from public,FAKE
Hospital develops faster cancer screening method,REAL
China has already launched cyberattack that destroyed US satellite network,FAKE
Wheat prices rise globally due to supply chain disruptions,REAL
University study links sleep deprivation to heart disease,REAL
India bans all opposition parties secret law passed at midnight session,FAKE
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
G20 nations agree on framework to regulate artificial intelligence globally,REAL
Prime Minister Modi inaugurates new expressway connecting Delhi to Mumbai,REAL
Leaked document proves COVID vaccine contains tracking device,FAKE
Doctors paid to keep patients sick and never cure them,FAKE
Time traveler from 2075 warns of upcoming world disaster,FAKE
WW3 already started underground governments hiding it from all citizens,FAKE
Central bank holds rates steady amid global uncertainty,REAL
Government admits planting fake news to distract citizens,FAKE
Iran develops invisible fighter jet that cannot be detected by any radar,FAKE
Secret society controls all media to hide the real truth,FAKE
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Prime Minister of India- Narendra Modi innaugurates New metro line inaugurated connecting airport to city centre,REAL
Aliens built the pyramids scientists finally admit,FAKE
India becomes first country to land spacecraft near lunar south pole,REAL
Artemis II crew replaced by high-tech androids during 6-minute communication blackout.,FAKE
Supreme court upholds privacy rights in landmark ruling,REAL
New study confirms benefits of Mediterranean diet,REAL
Hollywood celebrities secretly running global child trafficking ring,FAKE
Quantum healing crystals cure all disease in 24 hours,FAKE
Billionaires have found the secret to immortality and hidden it,FAKE
Magnetic fields from microwaves causing mass infertility worldwide,FAKE
Bananas genetically modified to carry government spy chips,FAKE
NATO countries secretly mobilising troops for planned attack on Russia,FAKE
World War 3 declared after Iran bombs US aircraft carrier in Persian Gulf,FAKE
Scientists bribed to hide evidence of second sun beyond clouds,FAKE
Modi government approves free ration extension for 800 million citizens,REAL
Doctors warn of rising cases of measles in unvaccinated populations,REAL
Electric vehicle sales hit record high globally,REAL
New submarine cable to improve internet speeds across region,REAL
Electric vehicle sales hit record high globally,REAL
Medical trial shows promising results for diabetes treatment,REAL
India launches new education policy targeting rural schools,REAL
Modi government approves free ration extension for 800 million citizens,REAL
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Government putting mind control chemicals in tap water,FAKE
Government expands free school meal program,REAL
Earthquake of magnitude 5.4 recorded off coastal region,REAL
Quantum healing crystals cure all disease in 24 hours,FAKE
Iran successfully tests weapon that can stop all electronics worldwide,FAKE
Moon landing was filmed in a Hollywood studio sources say,FAKE
Agriculture ministry reports wheat production increase,REAL
Defense ministry confirms successful missile defense test,REAL
ISRO scientist reveals Chandrayaan found aliens but Modi suppressed truth,FAKE
Chocolate proven to melt belly fat overnight study suppressed,FAKE
Government announces infrastructure spending plan,REAL
Tech company reports record quarterly earnings,REAL
Child smuggling ring run by top politicians finally exposed,FAKE
University researchers develop cheaper solar panel material,REAL
Space agency confirms launch date for next moon mission,REAL
Fluoride in water supply lowers IQ to control citizens,FAKE
Modi government approves free ration extension for 800 million citizens,REAL
Secret Artemis mission actually launched to Mars to rescue stranded time travelers.Iran launches full scale nuclear attack on Israel war officially begins,FAKE
Bill Gates planning to microchip entire world population,FAKE
Central bank raises interest rates to curb inflation,REAL
India and Pakistan agree to ceasefire after days of cross border tensions,REAL
Vaccine rollout reaches 80 percent of target population,REAL
India and China already at war government hiding casualties from public,FAKE
Scientists confirm link between air pollution and dementia,REAL
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Ministry announces pension hike for retired government employees,REAL
Doctors perform first successful robotic heart surgery in region,REAL
India becomes first country to land spacecraft near lunar south pole,REAL
NASA Artemis crew encountered alien base on Moon footage suppressed,FAKE
Health ministry confirms decline in tuberculosis cases,REAL
Renewable energy surpasses coal in national grid for first time,REAL
Indian army conducts high altitude military exercise near China border,REAL
Chemtrails confirmed as government population control program,FAKE
Researchers find new species of deep-sea fish,REAL
World leaders gather at UN summit to discuss global food crisis solutions,REAL
Child smuggling ring run by top politicians finally exposed,FAKE
City council approves new affordable housing development,REAL
International court issues ruling on maritime dispute,REAL
James Webb telescope photographed God NASA deleted the image immediately,FAKE
NASA confirms Artemis III mission will land near lunar south pole,REAL
Modi secretly builds underground bunker city beneath New Delhi exposed,FAKE
Artemis programme set to return humans to Moon surface by 2027,REAL
Secret underground city of elites discovered beneath capital,FAKE
China conducts military drills near Taiwan strait amid diplomatic tensions,REAL
Space agency confirms launch date for next moon mission,REAL
Researchers find new species of deep-sea fish,REAL
Renewable energy surpasses coal in national grid for first time,REAL
NASA rover discovers ancient river delta on Mars,REAL
Heavy rainfall causes flooding in several districts,REAL
Artificial intelligence already controls all world stock markets,FAKE
Tech company reports record quarterly earnings,REAL
Sun is actually a giant plasma portal to another dimension,FAKE
International film festival opens with record submissions this year,REAL
India bans all opposition parties secret law passed at midnight session,FAKE
Vaccine rollout reaches 80 percent of target population,REAL
Miracle seed cures diabetes in three days doctors hate this,FAKE
Forest fire contained after thousands of acres burned,REAL
Moon landing was filmed in a Hollywood studio sources say,FAKE
Agriculture ministry reports wheat production increase,REAL
Iran develops invisible fighter jet that cannot be detected by any radar,FAKE
Ancient energy crystal suppressed by big pharma for decades,FAKE
WW3 has begun Russia fires nuclear missile intercepted over Europe,FAKE
Artemis II crew successfully splashes down in Pacific Ocean after 10-day lunar flyby,REAL
Modi secretly builds underground bunker city beneath New Delhi exposed,FAKE
International court issues ruling on maritime dispute,REAL
City council approves new affordable housing development,REAL
Tech giant faces antitrust investigation in multiple countries,REAL
Ministry announces pension hike for retired government employees,REAL
Aliens built the pyramids scientists finally admit,FAKE
Moon landing was filmed in a Hollywood studio sources say,FAKE
Scientists discover new antibiotic to fight drug resistant bacteria,REAL
Court rules in favor of workers in landmark labor case,REAL
Scientists bribed to hide evidence of second sun beyond clouds,FAKE
Central bank raises interest rates to curb inflation,REAL
India surpasses Japan to become third largest economy says IMF report,REAL
Vaccine rollout reaches 80 percent of target population,REAL
New world order plans to reduce population by 90 percent,FAKE
University researchers develop cheaper solar panel material,REAL
Leaked email confirms government staged recent earthquake,FAKE
Heavy rainfall causes flooding in several districts,REAL
Bill Gates planning to microchip entire world population,FAKE
WHO releases updated guidelines on antibiotic use,REAL
Electric vehicle sales hit record high globally,REAL
Bill Gates planning to microchip entire world population,FAKE
India fakes ISRO moon mission entire landing was CGI whistleblower says,FAKE
United Nations calls for immediate de-escalation as Iran tensions rise,REAL
Fluoride in water supply lowers IQ to control citizens,FAKE
Renewable energy surpasses coal in national grid for first time,REAL
Medical trial shows promising results for diabetes treatment,REAL
Astronaut Christina Koch becomes the first woman to journey around the Moon.,REAL
India and China already at war government hiding casualties from public,FAKE
US president secretly signed surrender agreement with China last month,FAKE
James Webb telescope photographed God NASA deleted the image immediately,FAKE
New bridge construction begins after years of planning,REAL
New submarine cable to improve internet speeds across region,REAL
Court rules in favor of workers in landmark labor case,REAL
India and Pakistan agree to ceasefire after days of cross border tensions,REAL
NASA Administrator Jared Isaacman welcomes Artemis II crew back to Earth after historic mission,REAL
India and Pakistan agree to ceasefire after days of cross border tensions,REAL
NASA Artemis crew encountered alien base on Moon footage suppressed,FAKE
Health ministry confirms decline in tuberculosis cases,REAL
NASA rover discovers ancient river delta on Mars,REAL
Russia deploys secret weapon that can shut down entire power grid of USA,FAKE
China conducts military drills near Taiwan strait amid diplomatic tensions,REAL
Miracle oil banned by governments cures 200 diseases,FAKE
University introduces free coding courses for unemployed youth,REAL
Modi government implanting chips in Aadhaar cards to track all citizens,FAKE
New submarine cable to improve internet speeds across region,REAL
WHO releases updated guidelines on antibiotic use,REAL
Scientists confirm the earth is actually flat after new study,FAKE
Bananas genetically modified to carry government spy chips,FAKE
Iran denies allegations of supplying drones to military groups in Middle East,REAL
Artemis II crew successfully splashes down in Pacific Ocean after 10-day lunar flyby,REAL
Iran develops invisible fighter jet that cannot be detected by any radar,FAKE
Scientists confirm the earth is actually flat after new study,FAKE
Electric vehicle sales hit record high globally,REAL
Secret Artemis mission actually launched to Mars to rescue stranded time travelers.Iran launches full scale nuclear attack on Israel war officially begins,FAKE
Doctors paid to keep patients sick and never cure them,FAKE
Sports federation bans athlete for doping violations,REAL
Police arrest three suspects in connection with bank robbery,REAL
Prime Minister Modi inaugurates new expressway connecting Delhi to Mumbai,REAL
Iran successfully tests weapon that can stop all electronics worldwide,FAKE
University study links sleep deprivation to heart disease,REAL
ISRO scientist reveals Chandrayaan found aliens but Modi suppressed truth,FAKE
India launches new education policy targeting rural schools,REAL
World leaders are actually reptilian shapeshifters exposed,FAKE
Secret cure for cancer hidden by pharmaceutical companies,FAKE
Government admits planting fake news to distract citizens,FAKE
India surpasses Japan to become third largest economy says IMF report,REAL
Government expands free school meal program,REAL
City council approves new affordable housing development,REAL
Deep state controls all elections using invisible satellites,FAKE
International film festival opens with record submissions this year,REAL
Medical trial shows promising results for diabetes treatment,REAL
University researchers develop cheaper solar panel material,REAL
Study shows exercise reduces risk of depression significantly,REAL
5G towers secretly designed to track every citizen,FAKE
Chocolate proven to melt belly fat overnight study suppressed,FAKE
Leaked document proves COVID vaccine contains tracking device,FAKE
Prime Minister of India- Narendra Modi innaugurates New metro line inaugurated connecting airport to city centre,REAL
United Nations dissolved secretly replaced by elite world government body,FAKE
Pakistan nuclear bomb stolen by terrorist group government silent,FAKE
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Secret underground city of elites discovered beneath capital,FAKE
Whistleblower reveals robots already replacing politicians secretly,FAKE
Central bank holds rates steady amid global uncertainty,REAL
International court issues ruling on maritime dispute,REAL
New airport terminal opens after three years of construction,REAL
Modi declared himself permanent prime minister elections cancelled forever,FAKE
Russia deploys secret weapon that can shut down entire power grid of USA,FAKE
NASA detects unusual radio signal from Jupiter moon Europa scientists say,REAL
NASA scientist leaks proof of alien civilisation living inside the Moon,FAKE
Teachers union reaches pay agreement with government,REAL
Miracle oil banned by governments cures 200 diseases,FAKE
Parliament passes new data privacy legislation,REAL
India and China already at war government hiding casualties from public,FAKE
NASA confirms Artemis III mission will land near lunar south pole,REAL
Artemis II crew replaced by high-tech androids during 6-minute communication blackout.,FAKE
Economists predict moderate growth for next fiscal year,REAL
Supreme court upholds privacy rights in landmark ruling,REAL
Government expands free school meal program,REAL
WW3 already started underground governments hiding it from all citizens,FAKE
Researchers find new species of deep-sea fish,REAL
Artemis programme set to return humans to Moon surface by 2027,REAL
Prime Minister Modi inaugurates new expressway connecting Delhi to Mumbai,REAL
US imposes fresh sanctions on Iran over ballistic missile programme,REAL
Study shows exercise reduces risk of depression significantly,REAL
Doctors warn of rising cases of measles in unvaccinated populations,REAL
Magnetic fields from microwaves causing mass infertility worldwide,FAKE
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
Modi secretly builds underground bunker city beneath New Delhi exposed,FAKE
Whistleblower reveals robots already replacing politicians secretly,FAKE
United Nations calls for immediate de-escalation as Iran tensions rise,REAL
Parliament passes new data privacy legislation,REAL
Government putting mind control chemicals in tap water,FAKE
Ministry announces pension hike for retired government employees,REAL
Aliens built the pyramids scientists finally admit,FAKE
Scientists map full genome of endangered species,REAL
Oil prices fall after OPEC increases production quota,REAL
Stock markets rise after positive economic data,REAL
James Webb telescope captures deepest image of universe ever recorded,REAL
NASA confirms Artemis III mission will land near lunar south pole,REAL
Defense ministry confirms successful missile defense test,REAL
Drinking warm lemon water destroys all cancer cells overnight,FAKE
Report confirms oceans absorbed record heat last year,REAL
University introduces free coding courses for unemployed youth,REAL
G20 nations agree on framework to regulate artificial intelligence globally,REAL
Moon is actually a hollow space station built by aliens NASA confirms secretly,FAKE
Billionaires have found the secret to immortality and hidden it,FAKE
India fakes ISRO moon mission entire landing was CGI whistleblower says,FAKE
Ancient energy crystal suppressed by big pharma for decades,FAKE
Prime minister meets foreign leaders at annual summit,REAL
5G towers secretly designed to track every citizen,FAKE
Chemtrails confirmed as government population control program,FAKE
World leaders gather at UN summit to discuss global food crisis solutions,REAL
Astronaut Christina Koch becomes the first woman to journey around the Moon.,REAL
NASA Administrator Jared Isaacman welcomes Artemis II crew back to Earth after historic mission,REAL
Agriculture ministry reports wheat production increase,REAL
Stock markets rise after positive economic data,REAL
NASA hiding evidence of giant alien structures on the moon,FAKE
Trump is the president of USA,REAL
Pakistan nuclear bomb stolen by terrorist group government silent,FAKE
NASA rover discovers ancient river delta on Mars,REAL
Pentagon confirms US military budget increase amid rising global tensions,REAL
New airport terminal opens after three years of construction,REAL
NASA scientist leaks proof of alien civilisation living inside the Moon,FAKE
Indian Space Research Organisation successfully launches satellite into orbit,REAL
ISRO announces Gaganyaan mission crew for first Indian human spaceflight,REAL
NASA uses green screen to hide giant glass dome covering the entire lunar surface.,FAKE
Modi declared himself permanent prime minister elections cancelled forever,FAKE
Teachers union reaches pay agreement with government,REAL
NASA uses green screen to hide giant glass dome covering the entire lunar surface.,FAKE
NASA Artemis crew encountered alien base on Moon footage suppressed,FAKE
Prime minister meets foreign leaders at annual summit,REAL
Modi government implanting chips in Aadhaar cards to track all citizens,FAKE
Stock markets rise after positive economic data,REAL
Scientists develop new treatment for Alzheimer's disease,REAL
Wheat prices rise globally due to supply chain disruptions,REAL
Government admits planting fake news to distract citizens,FAKE
Earthquake of magnitude 5.4 recorded off coastal region,REAL
Leaked email confirms government staged recent earthquake,FAKE
NASA rover discovers ancient river delta on Mars,REAL
Teachers union reaches pay agreement with government,REAL
Secret Artemis mission actually launched to Mars to rescue stranded time travelers.Iran launches full scale nuclear attack on Israel war officially begins,FAKE
Pentagon confirms US military budget increase amid rising global tensions,REAL
Government announces infrastructure spending plan,REAL
Artemis III mission scheduled for 2027 to test lunar lander docking in Earth orbit.,REAL
University introduces free coding courses for unemployed youth,REAL
Parliament passes new data privacy legislation,REAL
NATO countries secretly mobilising troops for planned attack on Russia,FAKE
Quantum healing crystals cure all disease in 24 hours,FAKE
Magnetic fields from microwaves causing mass infertility worldwide,FAKE
Iran develops invisible fighter jet that cannot be detected by any radar,FAKE
New study confirms benefits of Mediterranean diet,REAL
Ancient prophecy predicts end of world next month experts say,FAKE
Drinking warm lemon water destroys all cancer cells overnight,FAKE
NASA scientist leaks proof of alien civilisation living inside the Moon,FAKE
Scientists confirm link between air pollution and dementia,REAL
Miracle seed cures diabetes in three days doctors hate this,FAKE
United Nations calls for immediate de-escalation as Iran tensions rise,REAL
Scientists map full genome of endangered species,REAL
Underground bunkers being built for elites before planned disaster,FAKE
Pentagon confirms US military budget increase amid rising global tensions,REAL
Artificial intelligence already controls all world stock markets,FAKE
NASA scientist leaks proof of alien civilisation living inside the Moon,FAKE
Supreme court upholds privacy rights in landmark ruling,REAL
Secret society controls all media to hide the real truth,FAKE
Iran successfully tests weapon that can stop all electronics worldwide,FAKE
India becomes first country to land spacecraft near lunar south pole,REAL
Russia deploys secret weapon that can shut down entire power grid of USA,FAKE
Doctors paid to keep patients sick and never cure them,FAKE
Moon landing was filmed in a Hollywood studio sources say,FAKE
Doctors perform first successful robotic heart surgery in region,REAL
Scientists develop new treatment for Alzheimer's disease,REAL
Tech company reports record quarterly earnings,REAL
New airport terminal opens after three years of construction,REAL
NASA uses green screen to hide giant glass dome covering the entire lunar surface.,FAKE
New world order plans to reduce population by 90 percent,FAKE
