text,label
WW3 has begun Russia fires nuclear missile intercepted over Europe,FAKE
Billionaires have found the secret to immortality and hidden it,FAKE
Pakistan and India sign secret deal to jointly attack Israel sources say,FAKE
New world order plans to reduce population by 90 percent,FAKE
India test fires Agni V intercontinental ballistic missile successfully,REAL
Ancient energy crystal suppressed by big pharma for decades,FAKE
Scientists confirm the earth is actually flat after new study,FAKE
Forest fire contained after thousands of acres burned,REAL
Iran foreign minister says country remains committed to diplomatic solution,REAL
Hospital develops faster cancer screening method,REAL
Secret human cloning lab discovered in remote mountain region,FAKE
Doctors perform first successful robotic heart surgery in region,REAL
Space agency confirms launch date for next moon mission,REAL
Heavy rainfall causes flooding in several districts,REAL
Whistleblower reveals robots already replacing politicians secretly,FAKE
India test fires Agni V intercontinental ballistic missile successfully,REAL
Oil prices fall after OPEC increases production quota,REAL
Iran denies allegations of supplying drones to military groups in Middle East,REAL
Deep state controls all elections using invisible satellites,FAKE
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Prime Minister Modi inaugurates new expressway connecting Delhi to Mumbai,REAL
Secret cure for cancer hidden by pharmaceutical companies,FAKE
James Webb telescope captures deepest image of universe ever recorded,REAL
Doctors perform first successful robotic heart surgery in region,REAL
Climate summit ends with new carbon reduction agreement,REAL
US imposes fresh sanctions on Iran over ballistic missile programme,REAL
ISRO scientist reveals Chandrayaan found aliens but Modi suppressed truth,FAKE
Prime Minister of India- Narendra Modi innaugurates New metro line inaugurated connecting airport to city centre,REAL
Ancient prophecy predicts end of world next month experts say,FAKE
Russia and Ukraine hold first direct talks in over two years in Istanbul,REAL
Report confirms oceans absorbed record heat last year,REAL
Supreme court upholds privacy rights in landmark ruling,REAL
Trump is the president of USA,REAL
NASA selects four astronauts for upcoming Artemis lunar surface mission,REAL
Miracle seed cures diabetes in three days doctors hate this,FAKE
Oil prices fall after OPEC increases production quota,REAL
Child smuggling ring run by top politicians finally exposed,FAKE
Pentagon confirms US military budget increase amid rising global tensions,REAL
Economists predict moderate growth for next fiscal year,REAL
World leaders are actually reptilian shapeshifters exposed,FAKE
Chemtrails confirmed as government population control program,FAKE
NASA hiding evidence of giant alien structures on the moon,FAKE
Artemis II crew successfully splashes down in Pacific Ocean after 10-day lunar flyby,REAL
World leaders are actually reptilian shapeshifters exposed,FAKE
International film festival opens with record submissions this year,REAL
Scientists map full genome of endangered species,REAL
University introduces free coding courses for unemployed youth,REAL
Prime minister meets foreign leaders at annual summit,REAL
Tech giant faces antitrust investigation in multiple countries,REAL
Underground bunkers being built for elites before planned disaster,FAKE
Modi government implanting chips in Aadhaar cards to track all citizens,FAKE
Report confirms oceans absorbed record heat last year,REAL
Artemis III mission scheduled for 2027 to test lunar lander docking in Earth orbit.,REAL
Chocolate proven to melt belly fat overnight study suppressed,FAKE
Health ministry confirms decline in tuberculosis cases,REAL
New law will make it illegal to grow your own food by 2025,FAKE
Mind reading technology secretly deployed in smartphones,FAKE
Police arrest three suspects in connection with bank robbery,REAL
Wheat prices rise globally due to supply chain disruptions,REAL
Ancient energy crystal suppressed by big pharma for decades,FAKE
Astronaut Christina Koch becomes the first woman to journey around the Moon.,REAL
Ancient prophecy predicts end of world next month experts say,FAKE
Secret human cloning lab discovered in remote mountain region,FAKE
World leaders are actually reptilian shapeshifters exposed,FAKE
Russia deploys secret weapon that can shut down entire power grid of USA,FAKE
James Webb telescope photographed God NASA deleted the image immediately,FAKE
James Webb telescope captures deepest image of universe ever recorded,REAL
Secret society controls all media to hide the real truth,FAKE
NASA hiding evidence of giant alien structures on the moon,FAKE
WW3 has begun Russia fires nuclear missile intercepted over Europe,FAKE
Report confirms oceans absorbed record heat last year,REAL
India surpasses Japan to become third largest economy says IMF report,REAL
New law will make it illegal to grow your own food by 2025,FAKE
Billionaires have found the secret to immortality and hidden it,FAKE
Time traveler from 2075 warns of upcoming world disaster,FAKE
New bridge construction begins after years of planning,REAL
Hospital develops faster cancer screening method,REAL
Medical trial shows promising results for diabetes treatment,REAL
Iran successfully tests weapon that can stop all electronics worldwide,FAKE
James Webb telescope photographed God NASA deleted the image immediately,FAKE
G20 nations agree on framework to regulate artificial intelligence globally,REAL
Artemis III mission scheduled for 2027 to test lunar lander docking in Earth orbit.,REAL
New submarine cable to improve internet speeds across region,REAL
WHO releases updated guidelines on antibiotic use,REAL
Leaked email confirms government staged recent earthquake,FAKE
Underground bunkers being built for elites before planned disaster,FAKE
Mind reading technology secretly deployed in smartphones,FAKE
Forest fire contained after thousands of acres burned,REAL
United Nations dissolved secretly replaced by elite world government body,FAKE
Parliament passes new data privacy legislation,REAL
Government expands free school meal program,REAL
Heavy rainfall causes flooding in several districts,REAL
Ancient prophecy predicts end of world next month experts say,FAKE
Artemis II crew replaced by high-tech androids during 6-minute communication blackout.,FAKE
Indian Space Research Organisation successfully launches satellite into orbit,REAL
India test fires Agni V intercontinental ballistic missile successfully,REAL
Leaked email confirms government staged recent earthquake,FAKE
NASA Administrator Jared Isaacman welcomes Artemis II crew back to Earth after historic mission,REAL
US president secretly signed surrender agreement with China last month,FAKE
India test fires Agni V intercontinental ballistic missile successfully,REAL
Defense ministry confirms successful missile defense test,REAL
Ministry announces pension hike for retired government employees,REAL
Hollywood celebrities secretly running global child trafficking ring,FAKE
Indian Space Research Organisation successfully launches satellite into orbit,REAL
Bananas genetically modified to carry government spy chips,FAKE
Police arrest three suspects in connection with bank robbery,REAL
Chocolate proven to melt belly fat overnight study suppressed,FAKE
Oil prices fall after OPEC increases production quota,REAL
Modi declared himself permanent prime minister elections cancelled forever,FAKE
Secret society controls all media to hide the real truth,FAKE
Government cuts income tax for middle class earners,REAL
University study links sleep deprivation to heart disease,REAL
Teachers union reaches pay agreement with government,REAL
Modi government implanting chips in Aadhaar cards to track all citizens,FAKE
Trump is the president of USA,REAL
United Nations dissolved secretly replaced by elite world government body,FAKE
5G towers secretly designed to track every citizen,FAKE
Economists predict moderate growth for next fiscal year,REAL
Iran foreign minister says country remains committed to diplomatic solution,REAL
Iran and US resume indirect nuclear talks in Geneva after months of deadlock,REAL
Bill Gates planning to microchip entire world population,FAKE
Underground bunkers being built for elites before planned disaster,FAKE
Leaked document proves COVID vaccine contains tracking device,FAKE
Forest fire contained after thousands of acres burned,REAL
Miracle oil banned by governments cures 200 diseases,FAKE
Leaked document proves COVID vaccine contains tracking device,FAKE
Artemis programme set to return humans to Moon surface by 2027,REAL
Scientists discover new antibiotic to fight drug resistant bacteria,REAL
India launches new education policy targeting rural schools,REAL
Artemis astronauts found ancient alien writing on lunar surface NASA hiding it,FAKE
Artificial intelligence already controls all world stock markets,FAKE
Health ministry confirms decline in tuberculosis cases,REAL
Hollywood celebrities secretly running global child trafficking ring,FAKE
Central bank raises interest rates to curb inflation,REAL
NASA hiding evidence of giant alien structures on the moon,FAKE
New law will make it illegal to grow your own food by 2025,FAKE
Economists predict moderate growth for next fiscal year,REAL
Scientists confirm link between air pollution and dementia,REAL
New study confirms benefits of Mediterranean diet,REAL
Secret cure for cancer hidden by pharmaceutical companies,FAKE
Doctors warn of rising cases of measles in unvaccinated populations,REAL
Stock markets rise after positive economic data,REAL
Scientists develop new treatment for Alzheimer's disease,REAL
Iran and US resume indirect nuclear talks in Geneva after months of deadlock,REAL
Deep state controls all elections using invisible satellites,FAKE
Indian army conducts high altitude military exercise near China border,REAL
ISRO announces Gaganyaan mission crew for first Indian human spaceflight,REAL
New study confirms benefits of Mediterranean diet,REAL
Defense ministry confirms successful missile defense test,REAL
Iran denies allegations of supplying drones to military groups in Middle East,REAL
Fluoride in water supply lowers IQ to control citizens,FAKE
Climate summit ends with new carbon reduction agreement,REAL
Climate summit ends with new carbon reduction agreement,REAL
Study shows exercise reduces risk of depression significantly,REAL
Artemis II crew replaced by high-tech androids during 6-minute communication blackout.,FAKE
Scientists develop new treatment for Alzheimer's disease,REAL
Hospital develops faster cancer screening method,REAL
Moon is actually a hollow space station built by aliens NASA confirms secretly,FAKE
International film festival opens with record submissions this year,REAL
Time traveler from 2075 warns of upcoming world disaster,FAKE
5G towers secretly designed to track every citizen,FAKE
Government putting mind control chemicals in tap water,FAKE
Sun is actually a giant plasma portal to another dimension,FAKE
Pakistan nuclear bomb stolen by terrorist group government silent,FAKE
Iran and US resume indirect nuclear talks in Geneva after months of deadlock,REAL
China has already launched cyberattack that destroyed US satellite network,FAKE
Tech giant faces antitrust investigation in multiple countries,REAL
Government announces infrastructure spending plan,REAL
Modi meets Biden at White House to strengthen India US defence ties,REAL
Time traveler from 2075 warns of upcoming world disaster,FAKE
Artemis programme set to return humans to Moon surface by 2027,REAL
ISRO scientist reveals Chandrayaan found aliens but Modi suppressed truth,FAKE
China conducts military drills near Taiwan strait amid diplomatic tensions,REAL
Renewable energy surpasses coal in national grid for first time,REAL
Central bank holds rates steady amid global uncertainty,REAL
Drinking warm lemon water destroys all cancer cells overnight,FAKE
India fakes ISRO moon mission entire landing was CGI whistleblower says,FAKE
Modi meets Biden at White House to strengthen India US defence ties,REAL
NASA detects unusual radio signal from Jupiter moon Europa scientists say,REAL
United Nations dissolved secretly replaced by elite world government body,FAKE
Sports federation bans athlete for doping violations,REAL
Artemis III mission scheduled for 2027 to test lunar lander docking in Earth orbit.,REAL
Iran foreign minister says country remains committed to diplomatic solution,REAL
Sports federation bans athlete for doping violations,REAL
Central bank raises interest rates to curb inflation,REAL
Prime minister meets foreign leaders at annual summit,REAL
Earthquake of magnitude 5.4 recorded off coastal region,REAL
WW3 has begun Russia fires nuclear missile intercepted over Europe,FAKE
World War 3 declared after Iran bombs US aircraft carrier in Persian Gulf,FAKE
Miracle oil banned by governments cures 200 diseases,FAKE
Aliens built the pyramids scientists finally admit,FAKE
Scientists discover new antibiotic to fight drug resistant bacteria,REAL
Scientists discover new antibiotic to fight drug resistant bacteria,REAL
Sports federation bans athlete for doping violations,REAL
World leaders gather at UN summit to discuss global food crisis solutions,REAL
Government announces infrastructure spending plan,REAL
NASA selects four astronauts for upcoming Artemis lunar surface mission,REAL
Secret human cloning lab discovered in remote mountain region,FAKE
US imposes fresh sanctions on Iran over ballistic missile programme,REAL
Secret underground city of elites discovered beneath capital,FAKE
New bridge construction begins after years of planning,REAL
China conducts military drills near Taiwan strait amid diplomatic tensions,REAL
Astronaut Christina Koch becomes the first woman to journey around the Moon.,REAL
India fakes ISRO moon mission entire landing was CGI whistleblower says,FAKE
Central bank holds rates steady amid global uncertainty,REAL
ISRO announces Gaganyaan mission crew for first Indian human spaceflight,REAL
NATO countries secretly mobilising troops for planned attack on Russia,FAKE
Police arrest three suspects in connection with bank robbery,REAL
Moon is actually a hollow space station built by aliens NASA confirms secretly,FAKE
Modi meets Biden at White House to strengthen India US defence ties,REAL
Doctors paid to keep patients sick and never cure them,FAKE
Sun is actually a giant plasma portal to another dimension,FAKE
Pakistan nuclear bomb stolen by terrorist group government silent,FAKE
Mind reading technology secretly deployed in smartphones,FAKE
New world order plans to reduce population by 90 percent,FAKE
India bans all opposition parties secret law passed at midnight session,FAKE
Magnetic fields from microwaves causing mass infertility worldwide,FAKE
India bans all opposition parties secret law passed at midnight session,FAKE
Doctors warn of rising cases of measles in unvaccinated populations,REAL
Fluoride in water supply lowers IQ to control citizens,FAKE
Artemis II crew successfully splashes down in Pacific Ocean after 10-day lunar flyby,REAL
Iran foreign minister says country remains committed to diplomatic solution,REAL
Agriculture ministry reports wheat production increase,REAL
Iran and US resume indirect nuclear talks in Geneva after months of deadlock,REAL
US imposes fresh sanctions on Iran over ballistic missile programme,REAL
Hollywood celebrities secretly running global child trafficking ring,FAKE
Quantum healing crystals cure all disease in 24 hours,FAKE
International court issues ruling on maritime dispute,REAL
Moon is actually a hollow space station built by aliens NASA confirms secretly,FAKE
ISRO announces Gaganyaan mission crew for first Indian human spaceflight,REAL
NASA Administrator Jared Isaacman welcomes Artemis II crew back to Earth after historic mission,REAL
New airport terminal opens after three years of construction,REAL
James Webb telescope captures deepest image of universe ever recorded,REAL
Secret human cloning lab discovered in remote mountain region,FAKE
Trump is the president of USA,REAL
New bridge construction begins after years of planning,REAL
Space agency confirms launch date for next moon mission,REAL
US president secretly signed surrender agreement with China last month,FAKE
Study shows exercise reduces risk of depression significantly,REAL
NASA detects unusual radio signal from Jupiter moon Europa scientists say,REAL
New law will make it illegal to grow your own food by 2025,FAKE
Modi government approves free ration extension for 800 million citizens,REAL
India and Pakistan agree to ceasefire after days of cross border tensions,REAL
G20 nations agree on framework to regulate artificial intelligence globally,REAL
Court rules in favor of workers in landmark labor case,REAL
NASA confirms Artemis III mission will land near lunar south pole,REAL
Tech company reports record quarterly earnings,REAL
Artificial intelligence already controls all world stock markets,FAKE
Mind reading technology secretly deployed in smartphones,FAKE
Child smuggling ring run by top politicians finally exposed,FAKE
NASA Artemis crew encountered alien base on Moon footage suppressed,FAKE
Indian army conducts high altitude military exercise near China border,REAL
China has already launched cyberattack that destroyed US satellite network,FAKE
Indian army conducts high altitude military exercise near China border,REAL
Prime Minister of India- Narendra Modi innaugurates New metro line inaugurated connecting airport to city centre,REAL
NASA selects four astronauts for upcoming Artemis lunar surface mission,REAL
Government cuts income tax for middle class earners,REAL
United Nations calls for immediate de-escalation as Iran tensions rise,REAL
US president secretly signed surrender agreement with China last month,FAKE
Modi meets Biden at White House to strengthen India US defence ties,REAL
India becomes first country to land spacecraft near lunar south pole,REAL
Secret Artemis mission actually launched to Mars to rescue stranded time travelers.Iran launches full scale nuclear attack on Israel war officially begins,FAKE
Miracle seed cures diabetes in three days doctors hate this,FAKE
Court rules in favor of workers in landmark labor case,REAL
Government cuts income tax for middle class earners,REAL
Scientists bribed to hide evidence of second sun beyond clouds,FAKE
Wheat prices rise globally due to supply chain disruptions,REAL
India surpasses Japan to become third largest economy says IMF report,REAL
Secret underground city of elites discovered beneath capital,FAKE
Secret cure for cancer hidden by pharmaceutical companies,FAKE
Deep state controls all elections using invisible satellites,FAKE
Modi declared himself permanent prime minister elections cancelled forever,FAKE
India launches new education policy targeting rural schools,REAL
Iran denies allegations of supplying drones to military groups in Middle East,REAL
Climate summit ends with new carbon reduction agreement,REAL
World War 3 declared after Iran bombs US aircraft carrier in Persian Gulf,FAKE
Government cuts income tax for middle class earners,REAL
WW3 already started underground governments hiding it from all citizens,FAKE
Researchers find new species of deep-sea fish,REAL
University study links sleep deprivation to heart disease,REAL
NATO countries secretly mobilising troops for planned attack on Russia,FAKE
WHO releases updated guidelines on antibiotic use,REAL
NASA detects unusual radio signal from Jupiter moon Europa scientists say,REAL
NASA uses green screen to hide giant glass dome covering the entire lunar surface.,FAKE
China has already launched cyberattack that destroyed US satellite network,FAKE
Earthquake of magnitude 5.4 recorded off coastal region,REAL
Scientists bribed to hide evidence of second sun beyond clouds,FAKE
University researchers develop cheaper solar panel material,REAL
Indian Space Research Organisation successfully launches satellite into orbit,REAL
Government putting mind control chemicals in tap water,FAKE
NASA selects four astronauts for upcoming Artemis lunar surface mission,REAL
Scientists confirm the earth is actually flat after new study,FAKE
Tech giant faces antitrust investigation in multiple countries,REAL
City council approves new affordable housing development,REAL
World War 3 declared after Iran bombs US aircraft carrier in Persian Gulf,FAKE
Drinking warm lemon water destroys all cancer cells overnight,FAKE
Bananas genetically modified to carry government spy chips,FAKE
Sun is actually a giant plasma portal to another dimension,FAKE
WW3 already started underground governments hiding it from all citizens,FAKE
World leaders gather at UN summit to discuss global food crisis solutions,REAL
Chemtrails confirmed as government population control program,FAKE
Modi secretly builds underground bunker city beneath New Delhi exposed,FAKE
Vaccine rollout reaches 80 percent of target population,REAL
Whistleblower reveals robots already replacing politicians secretly,FAKE
